Material,Lay-up,"Vf, %",Resin Type,Resin,0 Deg fabric name,45 Deg fabric name,45 Deg fabric %,90 Deg fabric name,90 Deg fabric %,other %,"Thickness, mm",Cure / Post Cure,Process,Test #,Coupon,"Max. Stress, MPa","Min. Stress, MPa",R-value,"Freq., Hz or mm/s","E, GPa (0.1-0.3%)",Max. % Strain,Cycles,"Moisture Gain, %",Contractor report,Conference Paper
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4883,DD5P819,710.0,,,,19.5,3.6,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4884,DD5P814,730.0,,,,22.3,3.3,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4885,DD5P817,742.0,,,,22.3,3.4,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4886,DD5P812,414.0,41.4,0.1,2.0,22.1,2.21,4207.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4887,DD5P821,414.0,41.4,0.1,2.0,22.0,2.03,3614.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4888,DD5P818,414.0,41.4,0.1,2.0,21.5,1.86,1132.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4891,DD5P908W,241.0,24.1,0.1,5.0,,,2145373.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4892,DD5P900W,310.0,31.0,0.1,3.0,20.0,1.42,17971.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4893,DD5P901W,241.0,24.1,0.1,5.0,20.6,1.19,1733316.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4894,DD5P902W,241.0,24.1,0.1,5.0,20.8,1.22,2033339.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4895,DD5P903W,310.0,31.0,0.1,3.0,21.3,1.51,45534.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4896,DD5P904W,310.0,31.0,0.1,3.0,20.0,1.54,35346.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4897,DD5P905W,693.0,,,,21.6,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4898,DD5P907W,688.0,,,,22.0,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,4899,DD5P906W,734.0,,,,21.0,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5860,DD5P909W,-34.5,-345.0,10.0,1.0,,,16.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5861,DD5P910W,-426.0,,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5862,DD5P911W,-384.0,,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5863,DD5P912W,-401.0,,,,,,1.0,,R4,C13
